Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-15,Tampa Bay Lightning,Lightning,Kings,1.134,18.49,17.49,51.38,3.91,1.0,79.58,7.09,3.96,64.17
2013-10-15,Pittsburgh Penguins,Penguins,Oilers,0.946,14.7,22.32,39.7,1.89,2.02,48.26,6.67,12.22,35.3
2013-10-15,Nashville Predators,Predators,Panthers,0.954,20.72,15.37,57.42,2.83,3.04,48.24,11.42,4.2,73.12
2013-10-15,New York Islanders,Islanders,Sabres,0.969,35.84,29.72,54.67,1.89,2.02,48.26,18.07,14.48,55.52
2013-10-15,Arizona Coyotes,Coyotes,Senators,0.989,22.03,20.4,51.92,1.93,2.03,48.82,5.62,7.04,44.39
2013-10-15,St Louis Blues,Blues,Sharks,1.005,20.32,24.9,44.93,1.83,3.21,36.33,2.51,10.25,19.69
2013-10-15,Colorado Avalanche,Avalanche,Stars,1.048,16.43,14.47,53.17,1.87,1.06,63.87,4.86,11.52,29.68
2013-10-15,Toronto Maple Leafs,Maple Leafs,Wild,1.104,9.29,18.57,33.34,0.99,0.0,100.00,2.02,3.98,33.68
2013-10-16,Anaheim Ducks,Ducks,Flames,1.162,18.91,18.86,50.06,2.92,1.01,74.22,9.86,11.04,47.19
2013-10-16,Washington Capitals,Capitals,Rangers,0.964,16.33,26.89,37.78,0.0,1.08,0.00,3.61,9.84,26.84
2013-10-17,Montreal Canadiens,Canadiens,Blue Jackets,1.025,13.93,22.02,38.75,1.93,1.01,65.57,6.9,13.35,34.06
2013-10-17,Chicago Blackhawks,Blackhawks,Blues,1.049,14.33,14.57,49.58,1.89,1.01,65.11,4.74,6.33,42.8
2013-10-17,Florida Panthers,Panthers,Bruins,0.986,16.24,26.22,38.25,0.92,2.11,30.42,8.89,10.91,44.89
2013-10-17,Buffalo Sabres,Sabres,Canucks,0.922,12.64,17.68,41.68,0.0,2.11,0.00,5.3,5.51,49.03
2013-10-17,Ottawa Senators,Senators,Devils,1.19,9.32,22.41,29.37,3.91,1.01,79.39,6.08,12.88,32.06
2013-10-17,Toronto Maple Leafs,Maple Leafs,Hurricanes,1.023,17.42,26.36,39.8,1.93,2.07,48.30,2.87,9.31,23.54
2013-10-17,Nashville Predators,Predators,Kings,0.979,23.0,10.22,69.23,0.94,1.01,48.26,9.35,3.07,75.27
2013-10-17,New York Islanders,Islanders,Oilers,0.949,21.97,22.7,49.19,1.89,2.07,47.71,10.43,12.47,45.54
2013-10-17,Philadelphia Flyers,Flyers,Penguins,0.883,16.54,18.44,47.29,0.0,3.21,0.00,7.27,6.66,52.17
2013-10-17,Colorado Avalanche,Avalanche,Red Wings,0.909,17.95,14.08,56.04,0.0,2.15,0.00,7.18,8.83,44.83
2013-10-17,Dallas Stars,Stars,Sharks,0.966,16.68,26.44,38.68,2.77,3.17,46.65,8.26,9.69,46.01
2013-10-17,Tampa Bay Lightning,Lightning,Wild,0.956,15.81,16.03,49.65,0.0,1.01,0.00,5.86,8.02,42.2
2013-10-18,Winnipeg Jets,Jets,Blues,1.012,19.85,28.55,41.01,2.8,3.19,46.74,11.53,14.43,44.4
2013-10-18,Anaheim Ducks,Ducks,Coyotes,0.974,14.7,14.42,50.48,1.87,2.07,47.45,4.67,5.08,47.94
2013-10-19,Buffalo Sabres,Sabres,Avalanche,0.961,12.79,20.8,38.08,1.83,3.18,36.57,9.33,9.77,48.84
