"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-14 - Sabres 2, Kings 4","Los Angeles Kings","Limited ReportFull Report","50.45","58.89","44.62","56.89","41.96","31.99","56.74","24.97","20.79","54.56","0","2.46","0.00","2.39","2.02","54.16","24.62","17.54","58.40","10.94","10.11","51.98","4.29","8.77","32.85","0","2.46","0.00","0.00","71.94","13.65","7.51","64.50","5.76","3.69","60.93","0","0","-","0.00","100.00","29.58","23.33","55.90","13.76","8.44","61.99","0","0","-","0.00","100.00","0.00","88.17","0.882","18230"
"2017-10-14 - Senators 6, Oilers 1","Edmonton Oilers","Limited ReportFull Report","43.55","82.05","55.75","59.54","54.24","48.51","52.79","32.96","34.35","48.97","0","4.39","0.00","4.03","2.05","66.30","36.64","20.25","64.41","17.44","6.18","73.84","13.99","4.72","74.78","0","2.96","0.00","0.00","37.18","18.69","14.36","56.56","8.58","7.59","53.07","0","1.34","0.00","0.00","82.35","32.43","25.6","55.89","7.96","14.2","35.92","0","0","-","0.00","100.00","0.00","87.21","0.872","18347"
"2017-10-15 - Bruins 1, Golden Knights 3","Vegas Golden Knights","Limited ReportFull Report","42.833333333333","59.07","50.26","54.03","43.12","39.48","52.20","25.45","23.85","51.62","2.71","0","100.00","2.27","1.18","65.79","28.69","15.68","64.65","8.14","0","100.00","5.59","0","100.00","1.39","0","100.00","24.81","-","20.83","15.32","57.62","6.88","7.13","49.11","1.33","0","100.00","19.30","100.00","26.96","26.46","50.47","11.76","14.88","44.15","0","0","-","0.00","100.00","10.64","100.00","1.106","17562"
"2017-10-15 - Islanders 2, Kings 3","Los Angeles Kings","Limited ReportFull Report","49.383333333333","43.5","56.48","43.51","30.79","39.93","43.54","24.73","24.88","49.85","1.15","2.46","31.78","1.39","2.47","36.05","19.38","27.82","41.06","7.14","12.23","36.85","7.22","8.49","45.97","0","2.49","0.00","0.00","70.71","12.42","15.37","44.69","3.63","4.94","42.40","0","0","-","0.00","100.00","21.13","24.82","45.99","11.44","10.18","52.92","1.15","0","100.00","10.05","100.00","4.64","90.11","0.947","18230"
"2017-10-15 - Sabres 3, Ducks 1","Anaheim Ducks","Limited ReportFull Report","46.15","51.01","58.21","46.70","38.74","44.94","46.29","21.32","36.35","36.97","0","2.75","0.00","1.28","1.64","43.77","19.78","27","42.28","4.59","7.13","39.18","0","7.08","0.00","0","2.75","0.00","-","61.14","14.9","20.14","42.53","7.24","8.3","46.59","0","0","-","0.00","100.00","26.78","29.6","47.50","11.8","19.59","37.59","0","0","-","0.00","100.00","0.00","92.44","0.924","15821"
"2017-10-16 - Lightning 3, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","39.666666666667","50.69","41.43","55.02","38.66","32.69","54.18","23.44","22.6","50.91","1.4","1.6","46.65","2.42","1.59","60.34","32.9","18.17","64.42","14.78","6.7","68.81","10.74","4.99","68.27","1.39","1.6","46.44","12.93","67.92","17.85","11.59","60.63","2.87","7.97","26.49","0","0","-","0.00","100.00","14","21.47","39.47","5.57","7.93","41.25","0","0","-","0.00","100.00","5.96","92.93","0.989","19515"
"2017-10-17 - Avalanche 1, Predators 4","Nashville Predators","Limited ReportFull Report","41.966666666667","56.79","41.41","57.83","44.31","29.04","60.41","24.19","18.21","57.04","2.73","0","100.00","1.94","1.32","59.52","19.8","25.83","43.39","9.81","2.9","77.17","6.94","1.51","82.16","2.69","0","100.00","38.79","100.00","9.94","22.43","30.70","2.72","12.92","17.37","0","0","-","0.00","100.00","35.09","13.62","72.03","14.71","3.86","79.22","0","0","-","0.00","100.00","11.29","100.00","1.113","17113"
"2017-10-17 - Blue Jackets 5, Jets 2","Winnipeg Jets","Limited ReportFull Report","53.9","45.08","71.93","38.53","30.09","51.16","37.03","23.28","42.46","35.41","1.06","5.95","15.12","1.32","3.74","26.08","16.82","30.54","35.52","7.86","18.63","29.69","5.99","17.25","25.79","1.03","2.38","30.27","17.26","86.18","8.8","12.14","42.02","6.16","5.9","51.09","0","2.24","0.00","0.00","62.03","20.86","29.57","41.36","10.07","18.43","35.35","0","1.24","0.00","0.00","93.25","4.55","86.00","0.905","15321"
"2017-10-17 - Canadiens 2, Sharks 5","San Jose Sharks","Limited ReportFull Report","40.383333333333","62.56","56.99","52.33","43.68","34.62","55.78","27.24","27.68","49.61","2.8","1.5","65.11","2.63","1.9","58.11","33.8","25.4","57.09","11.43","6.01","65.54","7.36","4.49","62.12","2.8","1.5","65.08","38.03","66.55","22.75","19","54.49","10.42","11.9","46.69","0","0","-","0.00","100.00","18.75","30.85","37.80","7.76","9.98","43.76","0","0","-","0.00","100.00","10.29","94.57","1.049","17377"
"2017-10-17 - Canucks 3, Senators 0","Ottawa Senators","Limited ReportFull Report","50.133333333333","46.36","57.4","44.68","36.1","38.39","48.46","25.48","28.95","46.82","0","2.54","0.00","1.73","1.96","46.92","17.53","30.59","36.42","7.55","8.03","48.45","4.36","5.33","45.02","0","1.29","0.00","0.00","75.70","9.86","22.96","30.03","9.09","7.82","53.77","0","1.16","0.00","0.00","85.12","23.58","18.52","56.01","9.7","14.53","40.04","0","0","-","0.00","100.00","0.00","91.21","0.912","13430"
"2017-10-17 - Coyotes 1, Stars 3","Dallas Stars","Limited ReportFull Report","52.7","62.98","45.76","57.92","50.37","33.15","60.31","37.53","24.28","60.72","2.2","1.15","65.57","3.23","2.45","56.88","34.14","22.75","60.01","15.63","10.28","60.33","13.51","9.03","59.95","1.07","0","100.00","7.93","100.00","18.7","12.3","60.32","10.25","6.88","59.85","1.07","1.16","47.93","10.46","83.06","25.4","18.3","58.12","13.55","8.41","61.70","0","0","-","0.00","100.00","5.86","95.24","1.011","16007"
"2017-10-17 - Hurricanes 5, Oilers 3","Edmonton Oilers","Limited ReportFull Report","38.6","61.48","50.09","55.10","50.86","29.93","62.95","39.15","24.57","61.44","1.48","3.32","30.84","2.61","1.3","66.65","30.85","17.4","63.94","10.76","7.06","60.37","8.04","5.33","60.14","0","1.68","0.00","0.00","68.45","19.62","10.57","65.00","9.79","3.3","74.77","1.6","1.64","49.42","16.32","50.52","26.25","27.06","49.24","15.7","14.59","51.84","0","0","-","0.00","100.00","3.78","86.51","0.903","18347"
"2017-10-17 - Lightning 4, Devils 5","New Jersey Devils","Limited ReportFull Report","45.75","61.72","65.76","48.41","48.89","56.41","46.43","32.45","32.29","50.12","2.47","4.04","38.00","2.68","2.82","48.70","30.86","30.29","50.47","12.08","12.38","49.39","8.53","10.97","43.76","1.23","2.71","31.28","14.47","75.26","18.68","18.03","50.89","11.19","6.88","61.93","0","0","-","0.00","100.00","26.82","35.63","42.94","12.71","14.38","46.93","1.24","1.23","50.21","9.76","91.44","7.63","87.49","0.951","13176"
"2017-10-17 - Maple Leafs 2, Capitals 0","Washington Capitals","Limited ReportFull Report","49.316666666667","51.49","63.28","44.86","35.61","54.4","39.56","28.86","32.83","46.78","0","1.29","0.00","1.45","3.37","30.12","19.13","34.72","35.53","4.42","18.27","19.49","2.23","10.33","17.75","0","1.29","0.00","0.00","87.53","14.66","16.56","46.95","5.75","5.06","53.21","0","0","-","0.00","100.00","26.7","27.61","49.16","19.86","16.25","55.01","0","0","-","0.00","100.00","0.00","96.09","0.961","18506"
