"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-04-29 - Islanders 4, Rangers 0","New York Rangers","Limited ReportFull Report","51.466666666667","43.66","49.92","46.65","30.8","37.61","45.03","19.6","23.74","45.22","0","2.11","0.00","1.46","1.68","46.62","19.59","26.35","42.64","6.79","5.84","53.76","5.14","3.55","59.12","0","0","-","0.00","100.00","12.52","20.76","37.62","3.52","7.64","31.55","0","2.02","0.00","0.00","73.49","21.03","22.17","48.68","9.84","11.64","45.83","0","0","-","0.00","100.00","0.00","91.13","0.911","1800"
"2021-04-29 - Panthers 4, Blackhawks 3","Chicago Blackhawks","Limited ReportFull Report","46.95","28.18","51.86","35.21","22.33","40.81","35.36","18.52","27.38","40.35","1.89","2.07","47.71","1.23","2.28","35.06","10.51","25.01","29.59","4.62","7.27","38.87","4.67","5.14","47.59","1.88","1.01","65.08","40.32","80.36","5.88","17.64","25.01","4.89","7.26","40.25","0","1.05","0.00","0.00","85.51","15.63","25.13","38.34","8.88","13.83","39.11","0","0","-","0.00","100.00","10.19","92.45","1.026","0"
"2021-04-29 - Penguins 5, Capitals 4","Washington Capitals","Limited ReportFull Report","48.366666666667","49.02","54.23","47.47","35.18","44.04","44.41","27.46","33.62","44.96","1.87","4.14","31.11","1.79","1.75","50.56","22.2","15.68","58.61","10.48","5.2","66.83","6.87","4.09","62.69","0.94","3.08","23.42","13.70","24.73","11.76","10.45","52.94","3.89","6.21","38.47","0","0","-","0.00","100.00","21.66","33.42","39.32","13.81","22.95","37.57","0.89","1.05","45.77","6.44","95.41","6.80","87.70","0.945","2133"
"2021-04-29 - Red Wings 1, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","48.45","52.33","27.77","65.33","40.84","22.16","64.82","31.89","15.04","67.96","2.92","1.01","74.22","3.23","1.22","72.64","31.7","15.35","67.38","10.96","8.26","57.04","10.09","5.13","66.31","0.99","1.04","48.87","9.81","79.80","20.96","7.07","74.77","12.92","4.09","75.96","1.89","0","100.00","14.63","100.00","14.58","10.83","57.39","7.52","4.83","60.89","0","0","-","0.00","100.00","9.16","93.25","1.024","4987"
"2021-04-29 - Sabres 2, Bruins 5","Boston Bruins","Limited ReportFull Report","50.1","49.14","38.37","56.16","43.56","31.05","58.39","30.42","26.21","53.71","2.88","2.02","58.71","1.55","1.96","44.08","15.7","21.92","41.74","7.73","7.01","52.45","5.93","6.92","46.13","1.93","2.02","48.87","32.59","70.81","8.01","14.71","35.28","4.96","9.05","35.40","0.95","0","100.00","19.11","100.00","31.24","15.19","67.29","17.67","9.41","65.24","0","0","-","0.00","100.00","9.45","92.28","1.017","2191"
"2021-04-29 - Stars 0, Lightning 3","Tampa Bay Lightning","Limited ReportFull Report","51.816666666667","36.3","38.07","48.81","29.73","25.13","54.19","22.53","19.33","53.83","0.94","0","100.00","1.46","1.15","55.87","16.07","25.03","39.10","4.95","5.08","49.38","1.97","2.97","39.87","0","0","-","0.00","100.00","11.3","19.55","36.62","5.96","9.02","39.78","0.95","0","100.00","15.91","100.00","18.8","13.83","57.61","14.93","7.39","66.91","0","0","-","0.00","100.00","4.19","100.00","1.042","4200"
"2021-04-30 - Golden Knights 0, Coyotes 3","Arizona Coyotes","Limited ReportFull Report","53.266666666667","46.92","54.4","46.31","38.15","40.79","48.32","28.81","23.31","55.28","1.93","0","100.00","2.38","1.99","54.37","23.03","19.99","53.53","13.8","7.23","65.62","10","6.16","61.88","1.93","0","100.00","19.32","100.00","9.3","12.54","42.58","5.05","5.96","45.84","0","0","-","0.00","100.00","18.92","30.81","38.05","12.73","11.1","53.40","0","0","-","0.00","100.00","6.71","100.00","1.067","5111"
"2021-04-30 - Jets 3, Canadiens 5","Montreal Canadiens","Limited ReportFull Report","51.533333333333","54.73","28.99","65.37","39.82","20.88","65.60","29.62","15.52","65.62","1.9","3.21","37.22","2.54","1.26","66.81","27.77","12.78","68.49","10.89","7.57","58.98","6.37","4.35","59.39","0.93","2.14","30.27","14.60","50.83","16.77","5.28","76.05","8.6","2.1","80.38","1.03","1.04","49.72","11.95","50.51","20.24","13.21","60.52","11.66","7.93","59.53","0","0","-","0.00","100.00","6.42","79.33","0.857","0"
"2021-04-30 - Kings 2, Ducks 1","Anaheim Ducks","Limited ReportFull Report","45.366666666667","49.04","38.29","56.15","36.09","29.76","54.81","22.64","21.8","50.95","0.94","2.07","31.33","2","1.64","54.93","25.11","21.33","54.08","9.97","5.2","65.72","6.05","5.14","54.05","0","2.07","0.00","0.00","59.79","15.35","15.91","49.10","7.98","11.11","41.79","0","0","-","0.00","100.00","21.03","15.58","57.45","8.43","5.81","59.20","0.95","0","100.00","11.22","100.00","4.17","90.51","0.947","1717"
"2021-04-30 - Sharks 0, Avalanche 3","Colorado Avalanche","Limited ReportFull Report","47.016666666667","52.45","26.94","66.07","34.74","17.14","66.96","26.34","12.39","68.01","0","0","-","1.54","0.6","71.87","17.35","12.79","57.57","7.08","0","100.00","5.13","0","100.00","0","0","-","0.00","-","10.42","12.35","45.77","4.05","5.95","40.47","0","0","-","0.00","100.00","30.21","10.87","73.53","16.55","5.21","76.07","0","0","-","0.00","100.00","0.00","100.00","1.000","4045"
"2021-05-01 - Blue Jackets 1, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","55.066666666667","53.39","51.55","50.87","34.88","38.86","47.30","26.44","29.17","47.54","0.92","1.06","46.65","1.57","2.76","36.25","23.17","26.55","46.60","7.37","15.02","32.93","3.78","9.55","28.39","0","1.06","0.00","0.00","88.91","15.66","11.71","57.21","6.63","6.26","51.44","0","0","-","0.00","100.00","26.4","22.01","54.54","15.17","12.43","54.96","0.89","0","100.00","5.86","100.00","3.49","96.38","0.999","4987"
"2021-05-01 - Blues 3, Wild 4","Minnesota Wild","Limited ReportFull Report","53.333333333333","39.41","41.8","48.53","33.79","35.87","48.50","26.86","29.29","47.84","1.9","3.21","37.22","1.63","1.7","48.93","19.53","20.73","48.50","8","7.69","50.97","6.19","7.65","44.73","0.93","3.22","22.38","15.01","57.89","11.2","13.21","45.90","9.15","10.67","46.15","0","0","-","0.00","100.00","18.56","18.75","49.74","11.41","11.09","50.70","0.88","0","100.00","7.75","100.00","7.08","89.04","0.961","3000"
"2021-05-01 - Canucks 1, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","53.716666666667","43.32","45.27","48.90","36.53","34.85","51.18","29.65","22.86","56.46","3.84","1.06","78.43","1.74","1.52","53.45","24.85","24.52","50.33","6.91","8.29","45.45","5.04","4.03","55.57","0.96","0","100.00","19.14","100.00","18.2","16.07","53.11","12.88","5.13","71.49","2.85","0","100.00","22.14","100.00","16.63","20.28","45.05","11.68","12.5","48.31","0","1.05","0.00","0.00","91.57","12.96","95.38","1.083","0"
"2021-05-01 - Devils 4, Flyers 1","Philadelphia Flyers","Limited ReportFull Report","51.566666666667","49.88","43.15","53.62","37.43","32.18","53.77","25.41","21.11","54.63","0.92","3.22","22.19","2.33","1.31","64.01","23.53","16.93","58.15","8.73","3.43","71.81","6.19","2.3","72.92","0","0","-","0.00","100.00","14.41","13.66","51.32","8.94","7.63","53.93","0.96","2.08","31.58","10.74","72.75","23.47","23.68","49.77","9.4","11.19","45.65","0","1.05","0.00","0.00","90.58","3.61","84.76","0.884","2683"
"2021-05-01 - Flames 1, Oilers 4","Edmonton Oilers","Limited ReportFull Report","45.583333333333","28.1","40.14","41.17","21.61","28.53","43.09","18.54","20.09","48.00","0.99","1.01","49.36","1.17","1.46","44.48","12.89","18.75","40.74","5.87","6.05","49.25","5.94","4.01","59.71","0","1.04","0.00","0.00","74.18","7.09","12.43","36.33","2.02","6.93","22.58","0","0","-","0.00","100.00","14.94","15.47","49.14","10.73","7.22","59.79","1.06","0","100.00","9.89","100.00","5.33","94.95","1.003","0"
"2021-05-01 - Golden Knights 3, Coyotes 2","Arizona Coyotes","Limited ReportFull Report","42.8","34.16","49.26","40.95","28.52","31.38","47.61","14.34","22.48","38.94","0.95","2.13","30.84","1.47","1.45","50.36","16.87","26.21","39.15","5.24","9.93","34.56","1.75","6.52","21.21","0.93","2.14","30.27","52.95","67.17","11.4","16.49","40.88","5.51","4.23","56.60","0","0","-","0.00","100.00","14.06","22.89","38.05","5.19","11.88","30.41","0","0","-","0.00","100.00","6.63","90.51","0.971","5671"
"2021-05-01 - Kings 2, Ducks 6","Anaheim Ducks","Limited ReportFull Report","54","59.45","43.66","57.66","41.86","33.03","55.90","32.27","22.58","58.83","4.91","2.01","70.97","2","1.49","57.29","24.68","18.37","57.33","8","5.87","57.67","7.06","2.93","70.63","1.92","1.02","65.25","27.20","65.15","17.01","12.22","58.19","8.17","8.61","48.70","1.92","1","65.79","23.48","88.41","33","23","58.92","16.12","10.87","59.73","1.06","0","100.00","6.58","100.00","15.21","91.11","1.063","1717"
