Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-17,Carolina Hurricanes,Maple Leafs,Hurricanes,0.977,26.36,17.42,60.2,2.07,1.93,51.70,9.31,2.87,76.46
2013-10-17,Los Angeles Kings,Predators,Kings,1.021,10.22,23.0,30.77,1.01,0.94,51.74,3.07,9.35,24.73
2013-10-17,Edmonton Oilers,Islanders,Oilers,1.051,22.7,21.97,50.81,2.07,1.89,52.29,12.47,10.43,54.46
2013-10-17,Pittsburgh Penguins,Flyers,Penguins,1.117,18.44,16.54,52.71,3.21,0.0,100.00,6.66,7.27,47.83
2013-10-17,Detroit Red Wings,Avalanche,Red Wings,1.091,14.08,17.95,43.96,2.15,0.0,100.00,8.83,7.18,55.17
2013-10-17,San Jose Sharks,Stars,Sharks,1.034,26.44,16.68,61.32,3.17,2.77,53.35,9.69,8.26,53.99
2013-10-17,Minnesota Wild,Lightning,Wild,1.044,16.03,15.81,50.35,1.01,0.0,100.00,8.02,5.86,57.8
2013-10-18,St Louis Blues,Jets,Blues,0.988,28.55,19.85,58.99,3.19,2.8,53.26,14.43,11.53,55.6
2013-10-18,Arizona Coyotes,Ducks,Coyotes,1.026,14.42,14.7,49.52,2.07,1.87,52.55,5.08,4.67,52.06
2013-10-19,Colorado Avalanche,Sabres,Avalanche,1.039,20.8,12.79,61.92,3.18,1.83,63.43,9.77,9.33,51.16
2013-10-19,Columbus Blue Jackets,Capitals,Blue Jackets,0.971,20.97,26.27,44.39,1.0,1.97,33.72,9.08,6.91,56.77
2013-10-19,Boston Bruins,Lightning,Bruins,1.365,14.82,8.66,63.13,5.35,0.0,100.00,4.49,3.47,56.41
2013-10-19,Vancouver Canucks,Penguins,Canucks,1.0,13.69,13.15,51.0,3.12,1.85,62.84,4.31,3.58,54.62
2013-10-19,Calgary Flames,Sharks,Flames,0.979,8.87,21.44,29.25,1.01,1.93,34.43,2.01,9.97,16.75
2013-10-19,Carolina Hurricanes,Islanders,Hurricanes,1.153,26.15,16.8,60.89,3.15,0.0,100.00,6.59,4.32,60.41
2013-10-19,Toronto Maple Leafs,Blackhawks,Maple Leafs,0.938,14.95,20.03,42.73,0.0,1.89,0.00,3.12,6.99,30.86
2013-10-19,Edmonton Oilers,Senators,Oilers,1.083,12.29,19.58,38.56,2.13,0.95,69.16,4.52,7.13,38.83
2013-10-19,Nashville Predators,Canadiens,Predators,0.997,17.0,16.96,50.06,1.06,0.92,53.35,7.56,6.44,54.0
2013-10-19,New York Rangers,Devils,Rangers,0.825,8.55,14.27,37.47,0.0,2.93,0.00,0.97,6.89,12.29
2013-10-19,Detroit Red Wings,Coyotes,Red Wings,0.882,19.74,16.45,54.54,2.13,3.81,35.91,14.59,9.11,61.58
2013-10-19,Dallas Stars,Kings,Stars,0.985,19.35,28.13,40.76,2.07,2.86,42.00,8.26,15.23,35.17
2013-10-19,Minnesota Wild,Panthers,Wild,1.0,11.87,8.34,58.75,0.0,0.0,0,1.12,3.64,23.51
2013-10-20,Vancouver Canucks,Blue Jackets,Canucks,0.89,11.11,16.6,40.09,0.0,1.89,0.00,3.13,9.6,24.61
